"timeframe","state","rps"
"2018-2023","VA",0.000958342779023301
"2018-2023","VT",0.0168403937327805
"2018-2023","WA",0.0403756753829318
"2018-2023","WI",0
"2018-2024","AZ",0.00117004499595689
"2018-2024","CA",0.0241608484284323
"2018-2024","CO",0.0033338123581965
"2018-2024","CT",0.0885042606591734
"2018-2024","DE",0.0380502509839888
"2018-2024","IA",0
"2018-2024","IL",0.0771712567721731
"2018-2024","MA",0.0668997361309724
"2018-2024","MD",0.115741430237462
"2018-2024","ME",0.115360878093104
"2018-2024","MI",0.0353703704791216
"2018-2024","MN",0
"2018-2024","MO",0.0398562421744064
"2018-2024","NC",0
"2018-2024","NH",0.041602609480994
"2018-2024","NJ",0.0684161611214529
"2018-2024","NM",0.0948208522549141
"2018-2024","NV",0.1583130899872
"2018-2024","NY",0.116263675700278
"2018-2024","OH",0.0175913893467482
"2018-2024","OR",0
"2018-2024","PA",0.0083232904165242
"2018-2024","RI",0.137113006174899
"2018-2024","TX",0
"2018-2024","VA",0.100102670881591
"2018-2024","VT",0.0265848423842538
"2018-2024","WA",0.0416927429652289
"2018-2024","WI",0
"2019-2020","AZ",0.000464808698719619
"2019-2020","CA",0.00164768957941658
"2019-2020","CO",0.00361707401182039
"2019-2020","CT",0.0137027941712401
