substation_name,latitude,longitude,pnode_match,pnode_id,type
Cherrydale Solar Power Facility,37.365716,-75.916007,KENDLGRV,1369011540,GEN
Kevlar,37.45005506,-77.43748999,KEVLAR,34885459,LOAD
Kevlar,37.45005506,-77.43748999,KEVLAR,34885461,LOAD
Kidds Store,37.79953752,-78.36834662,KIDDSTDP,34886799,LOAD
Kidds Store,37.79953752,-78.36834662,KIDDSTDP,2156118462,LOAD
Kimballton,37.35329063,-80.66672838,KIMBALLT,32411753,LOAD
Kimballton,37.35329063,-80.66672838,KIMBALLT,32411755,LOAD
Kings Fork,36.7843036,-76.60233969,KINGSFRK,34885887,LOAD
Kings Fork,36.7843036,-76.60233969,KINGSFRK,34885891,LOAD
Kings Fork,36.7843036,-76.60233969,KINGSFRK,1123172529,LOAD
Kings Fork,36.7843036,-76.60233969,KINGSFRK,1775828308,GEN
King's Mill,37.23368811,-76.63094246,KINGSMIL,34885893,LOAD
King's Mill,37.23368811,-76.63094246,KINGSMIL,34885895,LOAD
Meadow Brook,39.05412251,-78.25515661,KLINESMI,5021322,LOAD
Kumis,37.23690882,-80.17753991,KUMIS,32411769,LOAD
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,34886311,LOAD
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,34887871,GEN
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,34887873,GEN
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,63381285,LOAD
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,63381383,GEN
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,63381385,GEN
Ladysmith Ct,38.06684721,-77.51758861,LADYSMCT,74008743,GEN
Ladysmith,38.04665279,-77.55027637,LADYSMITH,35010363,EHV
Lake of The Woods DP,38.313533,-77.78125429,LAKEOFWD,34886801,LOAD
Lake of The Woods DP,38.313533,-77.78125429,LAKEOFWD,34886803,LOAD
Lakeside,37.61688513,-77.46011624,LAKESID4,34885471,LOAD
Lakeside,37.61688513,-77.46011624,LAKESID4,34885473,LOAD
Lakeside,37.61688513,-77.46011624,LAKESID4,34885475,LOAD
Lakeside,37.61688513,-77.46011624,LAKESID4,34885477,LOAD
Lakeridge,38.69243138,-77.29486849,LAKRIDGE,34886313,LOAD
Lakeridge,38.69243138,-77.29486849,LAKRIDGE,34886315,LOAD
Landstown,36.77130203,-76.0921628,LANDSTWN,34885897,LOAD
Landstown,36.77130203,-76.0921628,LANDSTWN,74008665,LOAD
Landstown,36.77130203,-76.0921628,LANDSTWN,1318144917,GEN
Landstown,36.77130203,-76.0921628,LANDSTWN,1775828311,GEN
Landstown,36.77130203,-76.0921628,LANDSTWN,1775828312,GEN
Lane,37.21014027,-80.4200647,LANE,2156113254,LOAD
Lane,37.21014027,-80.4200647,LANE,2156113327,LOAD
Lane,37.21014027,-80.4200647,LANE,2156113344,LOAD
Lane,37.21014027,-80.4200647,LANE,2156113435,LOAD
Lanexa,37.42016694,-76.91198959,LANEXA,34885899,LOAD
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,205502,LOAD
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,205503,LOAD
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,1318143459,GEN
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,1338430006,GEN
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,1552843227,GEN
Lawrenceville,36.74967218,-77.84646653,LAWRENCE,1552843228,GEN
Lebanon,36.92264493,-82.07051379,LEBANON,32411807,LOAD
Leesville,37.09398001,-79.40332373,LEESVILL,32418441,GEN
Leesville,37.09398001,-79.40332373,LEESVILL,32418443,GEN
Lexington,37.86765103,-79.42041902,LEXINGTON,35010383,EHV
Lightfoot,37.32823051,-76.75710981,LGHTFOOT,34885905,LOAD
Lightfoot,37.32823051,-76.75710981,LGHTFOOT,34885907,LOAD
Lightfoot,37.32823051,-76.75710981,LGHTFOOT,112586037,LOAD
Lightfoot,37.32823051,-76.75710981,LGHTFOOT,2156112235,GEN
Lightfoot,37.32823051,-76.75710981,LGHTFOOT,2156113068,GEN
Liberty,38.77464047,-77.53375099,LIBERTY,5133673,AGGREGATE
Liberty,38.77464047,-77.53375099,LIBERTY,40243581,LOAD
Liberty,38.77464047,-77.53375099,LIBERTY,40243583,LOAD
Lake Forest,37.37838469,-79.84733838,LKFOREST,1067161163,LOAD
Lockhart,37.15385841,-82.42560196,LOCKHART,112586009,LOAD
Locks,37.22197699,-77.44356458,LOCKS,34885489,LOAD
Locks,37.22197699,-77.44356458,LOCKS,34885491,LOAD
Locks,37.22197699,-77.44356458,LOCKS,34885493,LOAD
Locks,37.22197699,-77.44356458,LOCKS,1268563568,LOAD
London Bridge,36.77195611,-76.01968104,LONDNBRG,34885909,LOAD
Lonesome Pine,37.23666153,-81.31395374,LONESOME,32411847,LOAD
Looney Creek,37.31553478,-82.09443031,LOONEYCR,1218905133,LOAD
Loudon,38.89413189,-77.56454703,LOUDOUN,35010365,EHV
Louisa Generation Facility,38.1174189,-78.21546139,LOUISA,34886807,LOAD
Louisa Generation Facility,38.1174189,-78.21546139,LOUISA,2156115895,GEN
Lovettsville,39.2954316,-77.63267947,LOVETTSV,38367913,LOAD
Lovettsville,39.2954316,-77.63267947,LOVETTSV,1183224844,LOAD
Lowmoor,37.77652852,-79.89199139,LOWMOOR,34887993,GEN
Lowmoor,37.77652852,-79.89199139,LOWMOOR,40243767,GEN
Lowmoor,37.77652852,-79.89199139,LOWMOOR,40243769,GEN
Lowmoor,37.77652852,-79.89199139,LOWMOOR,40243771,GEN
Lowmoor,37.77652852,-79.89199139,LOWMOOR,40243773,GEN
Lynnhaven,36.83837513,-76.07525627,LYNNHAVN,34885917,LOAD
Lynnhaven,36.83837513,-76.07525627,LYNNHAVN,34885919,LOAD
Lynnhaven,36.83837513,-76.07525627,LYNNHAVN,1356163780,GEN
Lynnhaven,36.83837513,-76.07525627,LYNNHAVN,1775828314,GEN
Lynnhaven,36.83837513,-76.07525627,LYNNHAVN,1775828315,GEN
Magruder,37.05799066,-76.40107992,MAGRUDER,34885921,LOAD
Magruder,37.05799066,-76.40107992,MAGRUDER,34885923,LOAD
Magruder,37.05799066,-76.40107992,MAGRUDER,34885925,LOAD
Manchester,37.49546269,-77.43218906,MANCHSTR,34885497,LOAD
Manchester,37.49546269,-77.43218906,MANCHSTR,34885499,LOAD
Marlboro,37.47400671,-77.43489524,MARLBORO,34885505,LOAD
Marlboro,37.47400671,-77.43489524,MARLBORO,34885507,LOAD
Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN,34887875,GEN
Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN,34887877,GEN
Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN,34887879,GEN
Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN,98369961,LOAD
Marsh Run Ct,38.52789851,-77.7696135,MARSHRUN,98369963,LOAD
Dow,37.20268562,-76.60514216,MARTNHND,34885927,LOAD
Marvin,37.1708581,-81.97478255,MARVIN,2156116031,LOAD
McLaughlin,36.87418604,-76.29850469,MCLAUGH,34885929,LOAD
McLaughlin,36.87418604,-76.29850469,MCLAUGH,74008667,LOAD
Meadow Brook,39.05806093,-78.25340577,MEADOWBR,1183232223,GEN
Merrimac,37.19254473,-80.41881611,MERRIMAC,2156113192,LOAD
Middleburg,38.95924315,-77.72156119,MIDDLEBG,34886323,LOAD
Middleburg,38.95924315,-77.72156119,MIDDLEBG,34886325,LOAD
Middleburg,38.95924315,-77.72156119,MIDDLEBG,51519933,LOAD
Midlothian,37.50258352,-77.70405173,MIDLOTHIAN,35010347,EHV
Midway,37.17076573,-80.42270364,MIDWAYAP,2156113305,LOAD
Midway,37.17076573,-80.42270364,MIDWAYAP,2156113479,LOAD
Midway,38.02658212,-78.70715991,MIDWAYDP,34886819,LOAD
Mine Road,38.2502859,-77.47591398,MINEROAD,34886327,LOAD
Mine Road,38.2502859,-77.47591398,MINEROAD,34886329,LOAD
Lindendale D.P. (Minnieville),38.65266973,-77.3483491,MINVILDP,34886331,LOAD
Oak Green,38.36749298,-77.99374172,MITCHLDP,34886821,LOAD
Monel,37.45648548,-79.12426127,MONEL,32412009,LOAD
Moneta,37.19526388,-79.61744947,MONETA,32412011,LOAD
Huntington Court,37.31602459,-79.92794802,MONTEREY,1165472108,LOAD
Moore,38.76755396,-77.37500478,MOOREDP,34886333,LOAD
Morrisville,38.50108792,-77.70878874,MORRISVILLE,35010367,EHV
Mosby,38.8949686,-77.56820306,MOSBY,1207074967,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1207074968,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1248993375,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1248993376,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1248993377,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1248993378,GEN
Mosby,38.8949686,-77.56820306,MOSBY,1356178181,EHV
Moseley,37.35232939,-79.56578353,MOSELEY,32412031,LOAD
Moseley,37.35232939,-79.56578353,MOSELEY,45565859,LOAD
Moseley,37.35232939,-79.56578353,MOSELEY,45565861,LOAD
Mount View,37.25929655,-80.4455485,MOUNTVIE,2156113339,LOAD
Mount Jackson,38.72436542,-78.6617298,MTJACKS4,34886825,LOAD
Mount Jackson,38.72436542,-78.6617298,MTJACKS4,34886827,LOAD
Mount Jackson,38.72436542,-78.6617298,MTJACKS4,2156111024,GEN
Mountain Run,38.46291035,-77.97397651,MTN RUN,71856523,LOAD
Mountain Run,38.46291035,-77.97397651,MTN RUN,71856525,LOAD
Mountain Run,38.46291035,-77.97397651,MTN RUN,71856527,LOAD
Mountain Road,37.67043029,-77.52191006,MTNROAD,34885525,LOAD
Mountain Road,37.67043029,-77.52191006,MTNROAD,34885527,LOAD
Mountain Road,37.67043029,-77.52191006,MTNROAD,98370469,GEN
Mt. Union,37.46008211,-80.01517844,MTUNION,2155501899,LOAD
Mt. Union,37.46008211,-80.01517844,MTUNION,2155501900,LOAD
Mt. Union,37.46008211,-80.01517844,MTUNION,2155501901,LOAD
Myrtle,36.77130021,-76.6966516,MYRTLE,34885933,LOAD
Nasa,37.09336742,-76.38503463,NASA,98370183,LOAD
Nasa,37.09336742,-76.38503463,NASA,98370185,LOAD
Allied,37.33836845,-77.29775811,NATWELDR,34885541,LOAD
North Blacksburg,37.27708188,-80.38097126,NBLACKSB,32412079,LOAD
North Doswell,37.88319273,-77.46122386,NDOSWLDP,34885545,LOAD
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,93150,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,93151,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,93152,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,1048078,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,1048079,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,1048080,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,1048081,GEN
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,2156118408,LOAD
Commonwealth Chesapeake,37.98867001,-75.53967558,NEWCHURC,2156118581,LOAD
New London,37.32910871,-79.30879958,NEWLONDO,32412117,LOAD
New Road,38.93391329,-77.62540895,NEWROAD,1123172330,LOAD
Ni River DP,38.24325646,-77.58614837,NIRIVER,34886845,LOAD
NIVO,39.02340639,-77.46050049,NIVO,93353461,LOAD
NIVO,39.02340639,-77.46050049,NIVO,93353463,LOAD
