Name,HIFLD_Name,HIFLD_ID,city,City_Prop,zip,type,Type_Prop,status,Stat_Prop,county,Count_Prop,countyfips,StateShort,StateFull,country,latitude,longitude,naics_code,naics_desc,source,sourcedate,val_method,val_date,lines,LineTxt,max_volt,CurrentMax,min_volt,CurrentMin,max_infer,min_infer,MinVoltCat,geometry
Bland,BLAND,157442,BLAND,Bland,24315,SUBSTATION,Substation,IN SERVICE,In service,BLAND,Bland,51021,VA,Virginia,USA,37.097281535,-81.130538729,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"OpenStreetMap, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2017-10-09,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.13053872903376 37.097281534849884)
Goose Creek,GOOSE CREEK,157646,LEESBURG,Leesburg,20175,SUBSTATION,Substation,IN SERVICE,In service,LOUDOUN,Loudoun,51107,VA,Virginia,USA,39.07550887,-77.531464413,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,OpenStreetMap,2017-10-09,IMAGERY,2019-03-01,3.0,3,500.0,500,-999999.0,Unknown,N,N,Unknown,POINT (-77.53146441289246 39.07550887028592)
Loudon,LOUDON,157733,ALDIE,Aldie,20105,SUBSTATION,Substation,IN SERVICE,In service,LOUDOUN,Loudoun,51107,VA,Virginia,USA,38.894131891,-77.564547032,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2017-11-28,IMAGERY,2019-03-07,5.0,5,500.0,500,500.0,500,Y,Y,Min 230,POINT (-77.56454703188179 38.89413189084922)
"Southampton Solar, LLC","SOUTHAMPTON SOLAR, LLC",159795,NEWSOMS,Newsoms,23874,SUBSTATION,Substation,UNDER CONSTRUCTION,Under construction,SOUTHAMPTON,Southampton,51175,VA,Virginia,USA,36.613850093,-77.166488979,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, EIA 860",2018-12-06,IMAGERY,2021-06-01,-999999.0,Unknown,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-77.16648897857746 36.61385009295725)
Tap160521,TAP160521,160521,APPALACHIA,Appalachia,24216,TAP,Tap,IN SERVICE,In service,WISE,Wise,51195,VA,Virginia,USA,36.881305,-82.811724,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,161.0,161,161.0,161,Y,Y,115 to 229,POINT (-82.81172400006187 36.881305000154015)
Tap160522,TAP160522,160522,APPALACHIA,Appalachia,24216,TAP,Tap,IN SERVICE,In service,WISE,Wise,51195,VA,Virginia,USA,36.880393,-82.814421,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,161.0,161,161.0,161,Y,Y,115 to 229,POINT (-82.81442100036129 36.88039300027268)
Tap160528,TAP160528,160528,PENNINGTON GAP,Pennington Gap,24277,TAP,Tap,IN SERVICE,In service,LEE,Lee,51105,VA,Virginia,USA,36.768294038,-83.110267162,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,-999999.0,Unknown,-999999.0,Unknown,N,N,Unknown,POINT (-83.11026716229856 36.76829403780475)
Tap160532,TAP160532,160532,OAKWOOD,Oakwood,24631,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.158393,-81.98764,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.98763999962067 37.158393000074774)
Tap160534,TAP160534,160534,OAKWOOD,Oakwood,24631,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.157268,-81.983539,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.9835389999058 37.15726799986775)
Tap160535,TAP160535,160535,OAKWOOD,Oakwood,24631,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.160764,-81.969805,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.96980499978503 37.160764000172314)
Tap160536,TAP160536,160536,OAKWOOD,Oakwood,24631,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.164777,-81.958071,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.95807099982966 37.16477699990466)
Tap160538,TAP160538,160538,RAVEN,Raven,24639,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.172304,-81.95457,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,Y,Y,69 to 114,POINT (-81.95457000016444 37.172304000014066)
Tap160539,TAP160539,160539,RAVEN,Raven,24639,TAP,Tap,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.172386,-81.954745,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019-02-05,IMAGERY,2019-02-05,3.0,3,69.0,69,69.0,69,Y,Y,69 to 114,POINT (-81.95474500006661 37.17238600029419)
Permac,PERMAC,160540,OAKWOOD,Oakwood,24631,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.15704533,-81.983534203,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2019-02-05,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114,POINT (-81.98353420290219 37.157045330070034)
Turkey Pen,TURKEY PEN,160555,VANSANT,Vansant,24656,SUBSTATION,Substation,IN SERVICE,In service,BUCHANAN,Buchanan,51027,VA,Virginia,USA,37.225166428,-82.121585374,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, https://aeptransmission.com/virginia/Tazewell-Bearwallow/docs/VOLUME%201%20(Exhibits%206%20through%2013).pdf",2019-02-06,IMAGERY,2019-02-06,1.0,1,69.0,69,69.0,69,N,N,69 to 114,POINT (-82.12158537426927 37.22516642794491)
