Datacenter URL,Country,City,Datacenter Name
https://www.datacentermap.com/slovenia/maribor/posita-maribor-tezno/,slovenia,maribor,posita-maribor-tezno
https://www.datacentermap.com/czech-republic/prague/pragonet-telehouse-prague/,czech-republic,prague,pragonet-telehouse-prague
https://www.datacentermap.com/ireland/drogheda/premier-periclase-data-centre/,ireland,drogheda,premier-periclase-data-centre
https://www.datacentermap.com/germany/munich/premium-datacenter-1/,germany,munich,premium-datacenter-1
https://www.datacentermap.com/denmark/saeby/prime-denmark-building-1/,denmark,saeby,prime-denmark-building-1
https://www.datacentermap.com/denmark/saeby/prime-denmark-building-2/,denmark,saeby,prime-denmark-building-2
https://www.datacentermap.com/denmark/saeby/prime-denmark-building-3/,denmark,saeby,prime-denmark-building-3
https://www.datacentermap.com/denmark/saeby/prime-denmark-campus/,denmark,saeby,prime-denmark-campus
https://www.datacentermap.com/finland/helsinki/prime-jarvenpaa/,finland,helsinki,prime-jarvenpaa
https://www.datacentermap.com/spain/madrid/prime-madrid/,spain,madrid,prime-madrid
https://www.datacentermap.com/romania/bucharest/prime-telecom/,romania,bucharest,prime-telecom
https://www.datacentermap.com/ireland/dublin/profile-park-2/,ireland,dublin,profile-park-2
https://www.datacentermap.com/ireland/dublin/profile-park-dub15/,ireland,dublin,profile-park-dub15
https://www.datacentermap.com/ireland/dublin/profile-park-dub16/,ireland,dublin,profile-park-dub16
https://www.datacentermap.com/ireland/dublin/profile-park-kilcarbery/,ireland,dublin,profile-park-kilcarbery
https://www.datacentermap.com/germany/cottbus/project-jupiter-data-center/,germany,cottbus,project-jupiter-data-center
https://www.datacentermap.com/spain/merida-es/project-lusitanus/,spain,merida-es,project-lusitanus
https://www.datacentermap.com/germany/stuttgart/pronexon-reutlingen/,germany,stuttgart,pronexon-reutlingen
https://www.datacentermap.com/spain/valencia/prored-data-center/,spain,valencia,prored-data-center
https://www.datacentermap.com/hungary/budapest/proserver/,hungary,budapest,proserver
https://www.datacentermap.com/france/marseille/proxicenter-aix-marseille/,france,marseille,proxicenter-aix-marseille
