,substation_name,latitude,longitude,pnode_match
108,Pentagon,38.86842435,-77.04946649,WAR
449,Warrenton,38.69742368,-77.76746382,WARRENTN
470,Warwick,37.08343514,-76.46033698,WARWICK
104,Wattsville,37.93480234,-75.50210517,WATTSVIL
227,Waynesboro,38.06026197,-78.87994886,WAYNESBO
278,West Bassett,36.76979023,-80.01751279,WBASSETT
220,Welco,36.67196559,-78.92009335,WELCO
224,Weyers Cave,38.28289371,-78.90590835,WEYERSCV
62,Wheeler,38.75308054,-77.65422652,WHEELER
570,Whitestone Branch,37.17275691,-81.95527334,WHETSTNE
337,White Oak,37.48611996,-77.24706625,WHITEOA4
